"","domain","total_accesses","domainOwner","DomainOwnerName","domainType","domainClassification","initiatedType","notes"
"97","accountcapabilities-pa.googleapis.com",6,"","Google",2,1,"AppInitiated",""
"98","accounts.google.com",6,"","Google",2,1,"AppInitiated",""
"99","acdn.adnxs.com",6,"","Microsoft",2,1,"AppInitiated",""
"100","ade.googlesyndication.com",6,"","Google",2,1,"AppInitiated",""
"101","api.revenuecat.com",6,"RevenueCat","RevenueCat",1,1,"AppInitiated",""
"102","browser-intake-datadoghq.eu",6,"","Other",2,1,"AppInitiated",""
"103","cacerts.digicert.com",6,"","DigiCert",2,1,"AppInitiated",""
"104","connectivitycheck.gstatic.com",6,"","Google",2,1,"AppInitiated",""
"105","edge-095.deber3.icloud-content.com",6,"","Apple",2,1,"AppInitiated",""
"106","encrypted-tbn3.gstatic.com",6,"","Google",2,1,"AppInitiated",""
"107","entitlements.itunes.apple.com",6,"","Apple",2,1,"AppInitiated",""
"108","ep2.facebook.com",6,"","Meta",2,1,"AppInitiated",""
"109","fcmtoken.googleapis.com",6,"","Google",2,1,"AppInitiated",""
"110","geller-pa.googleapis.com",6,"","Google",2,1,"AppInitiated",""
"111","i.instagram.com",6,"","Meta",2,1,"AppInitiated",""
"112","ib.adnxs-simple.com",6,"","Microsoft",2,1,"AppInitiated",""
"113","id.digitecgalaxus.ch",6,"","Digitec Galaxus AG",2,1,"AppInitiated",""
"114","lh4.googleusercontent.com",6,"","Google",2,1,"AppInitiated",""
"115","lh5.googleusercontent.com",6,"","Google",2,1,"AppInitiated",""
"116","lookaside.facebook.com",6,"","Meta",2,1,"AppInitiated",""
"117","ocsp.swisssign.ch",6,"","Other",2,1,"AppInitiated",""
"118","outlook.office365.com",6,"","Microsoft",2,1,"NonAppInitiated",""
"119","platform-lookaside.fbsbx.com",6,"","Other",2,1,"AppInitiated",""
"120","reporting.aatkit.com",6,"","Other",2,1,"AppInitiated",""
"121","rules.aatkit.com",6,"AddApptr GmbH","AddApptr",1,1,"AppInitiated",""
"122","rules2.aatkit.com",6,"","Other",2,1,"AppInitiated",""
"123","rules3.aatkit.com",6,"AddApptr GmbH","AddApptr",1,1,"AppInitiated",""
"124","scontent-zrh1-1.cdninstagram.com",6,"","Meta",2,1,"AppInitiated",""
"125","scontent-zrh1-1.cdninstagram.com",6,"","Meta",2,1,"NonAppInitiated",""
"126","sf-api-token-service.itunes.apple.com",6,"","Apple",2,1,"AppInitiated",""
"127","static02.galaxus.com",6,"","Digitec Galaxus AG",2,1,"AppInitiated",""
"128","tracking.aatkit.com",6,"AddApptr GmbH","AddApptr",1,1,"AppInitiated",""
"129","www.galaxus.ch",6,"","Digitec Galaxus AG",2,1,"AppInitiated",""
"130","xp.apple.com",6,"","Apple",2,1,"AppInitiated",""
"131","yt3.ggpht.com",6,"","Other",2,1,"AppInitiated",""
"132","0.datadog.pool.ntp.org",5,"","Other",2,1,"AppInitiated",""
"133","157.240.17.15",5,"","Other",2,2,"AppInitiated",""
"134","157.240.17.63",5,"","Other",2,2,"AppInitiated",""
"135","213.55.137.225",5,"","Other",2,2,"AppInitiated",""
"136","74.125.250.129",5,"","Other",2,2,"AppInitiated",""
"137","ads.vungle.com",5,"Vungle Inc","Vungle Inc.",1,1,"AppInitiated",""
"138","api.kochava.com",5,"Kochava","Kochava",1,1,"AppInitiated",""
"139","api.mapbox.com",5,"","Other",2,1,"AppInitiated",""
"140","assets.adobedtm.com",5,"","Adobe",2,1,"AppInitiated",""
"141","chat-e2ee.facebook.com",5,"","Meta",2,1,"AppInitiated",""
"142","config.mapbox.com",5,"","Mapbox",2,1,"AppInitiated",""
"143","connect.facebook.net",5,"","Meta",2,1,"AppInitiated",""
"144","connect.facebook.net",5,"","Meta",1,1,"AppInitiated",""
"145","control.kochava.com",5,"Kochava","Kochava",1,1,"AppInitiated",""
"146","csi.gstatic.com",5,"","Google",2,1,"AppInitiated",""
"147","events.mapbox.com",5,"","Other",2,1,"AppInitiated",""
"148","firebasedynamiclinks.googleapis.com",5,"","Google",2,1,"AppInitiated",""
"149","fra-01.braze.eu",5,"Braze, Inc.","Braze Inc.",1,1,"AppInitiated",""
"150","geolocation.onetrust.com",5,"","Other",2,1,"AppInitiated",""
"151","graph.instagram.com",5,"","Meta",2,1,"AppInitiated",""
"152","lh6.googleusercontent.com",5,"","Google",2,1,"AppInitiated",""
"153","login.microsoftonline.com",5,"","Microsoft",2,1,"AppInitiated",""
"154","mtalk.google.com",5,"","Google",2,1,"AppInitiated",""
"155","pbs.twimg.com",5,"","Other",2,1,"AppInitiated",""
"156","peoplestack-pa.googleapis.com",5,"","Google",2,1,"AppInitiated",""
"157","pixel.adsafeprotected.com",5,"","Other",2,1,"AppInitiated",""
"158","play.google.com",5,"","Google",2,1,"AppInitiated",""
"159","play.itunes.apple.com",5,"","Apple",2,1,"AppInitiated",""
"160","rupload.facebook.com",5,"","Meta",2,1,"AppInitiated",""
"161","s.mzstatic.com",5,"","Apple",2,1,"AppInitiated",""
"162","sdk.out.usbla.net",5,"","Other",2,1,"AppInitiated",""
"163","ssl.gstatic.com",5,"","Google",2,1,"AppInitiated",""
"164","static.xx.fbcdn.net",5,"","Meta",2,1,"AppInitiated",""
"165","static.zdassets.com",5,"","Zendesk",2,1,"AppInitiated",""
"166","w.usabilla.com",5,"","Other",2,1,"AppInitiated",""
"167","www.bbc.com",5,"","Other",2,1,"AppInitiated",""
"168","www.srf.ch",5,"","Other",2,1,"AppInitiated",""
