"","Var1","Var2","Freq"
"1","1","FALSE",193
"2","2","FALSE",4237
"3","Total","FALSE",4430
"4","1","TRUE",489
"5","2","TRUE",663
"6","Total","TRUE",1152
"7","1","Total",682
"8","2","Total",4900
"9","Total","Total",5582
