"","firstTimeStamp","timeStamp","hits","bundleID","domain","domainOwner","domainType","domainClassification","initiatedType"
"72","2025-02-09T17:06:42.283+01:00","2025-02-09T17:06:42.283+01:00",1,"com.strava.stravaride","engine.adzerk.net","",2,1,"AppInitiated"
"73","2025-02-09T09:22:26.873+01:00","2025-02-16T18:04:38.871+01:00",13,"com.strava.stravaride","manifest-gcp-us-east1-vop1.fastly.mux.com","",2,1,"AppInitiated"
"74","2025-02-09T09:21:01.295+01:00","2025-02-16T14:44:51.887+01:00",17,"com.strava.stravaride","inappcheck.itunes.apple.com","",2,1,"AppInitiated"
"75","2025-02-09T09:22:10.372+01:00","2025-02-16T18:06:06.233+01:00",40,"com.strava.stravaride","platform-lookaside.fbsbx.com","",2,1,"AppInitiated"
"76","2025-02-09T09:20:59.020+01:00","2025-02-16T18:04:38.087+01:00",73,"com.strava.stravaride","ingest.sentry.io","Functional Software, Inc.",1,1,"AppInitiated"
"77","2025-02-09T09:22:27.267+01:00","2025-02-16T18:04:38.030+01:00",14,"com.strava.stravaride","chunk-gcp-us-east1-vop1.fastly.mux.com","",2,1,"AppInitiated"
"78","2025-02-09T16:58:27.213+01:00","2025-02-16T18:06:20.065+01:00",59,"com.strava.stravaride","cdn.branch.io","",2,1,"AppInitiated"
"79","2025-02-09T16:58:27.092+01:00","2025-02-16T15:45:40.928+01:00",11,"com.strava.stravaride","o352714.ingest.sentry.io","Functional Software, Inc.",1,1,"AppInitiated"
"80","2025-02-09T17:06:42.267+01:00","2025-02-16T16:55:16.267+01:00",5,"com.strava.stravaride","d3nn82uaxijpm6.cloudfront.net","",2,1,"AppInitiated"
"81","2025-02-09T17:05:48.925+01:00","2025-02-16T15:16:21.758+01:00",2,"com.strava.stravaride","strava-photo-uploads-prod.s3-accelerate.amazonaws.com","",2,1,"AppInitiated"
"82","2025-02-09T17:06:42.283+01:00","2025-02-09T17:06:42.283+01:00",1,"com.strava.stravaride","engine.adzerk.net","",2,1,"AppInitiated"
"83","2025-02-09T18:32:17.833+01:00","2025-02-16T15:15:39.885+01:00",30,"com.strava.stravaride","heatmap-external-c.strava.com","",2,1,"AppInitiated"
"84","2025-02-09T18:32:17.795+01:00","2025-02-16T15:15:39.884+01:00",27,"com.strava.stravaride","amp-api-edge.apps.apple.com","",2,1,"AppInitiated"
"85","2025-02-10T09:12:51.395+01:00","2025-02-16T18:04:38.067+01:00",80,"com.strava.stravaride","c.strava.com","",2,1,"AppInitiated"
"86","2025-02-10T09:12:53.786+01:00","2025-02-16T18:06:05.730+01:00",64,"com.strava.stravaride","graph.facebook.com","Facebook, Inc.",1,1,"AppInitiated"
"87","2025-02-10T09:12:52.756+01:00","2025-02-16T18:04:38.091+01:00",74,"com.strava.stravaride","api3.branch.io","",2,1,"AppInitiated"
"88","2025-02-10T09:19:50.731+01:00","2025-02-16T18:04:38.094+01:00",73,"com.strava.stravaride","chat.stream-io-api.com","",2,1,"AppInitiated"
"89","2025-02-10T09:19:50.653+01:00","2025-02-16T16:55:21.392+01:00",39,"com.strava.stravaride","graphql.strava.com","",2,1,"AppInitiated"
"90","2025-02-10T09:19:50.624+01:00","2025-02-16T14:44:51.448+01:00",7,"com.strava.stravaride","config.mapbox.com","",2,1,"AppInitiated"
"91","2025-02-10T09:19:50.595+01:00","2025-02-16T18:04:38.069+01:00",77,"com.strava.stravaride","cdn-1.strava.com","",2,1,"AppInitiated"
"92","2025-02-10T09:19:50.651+01:00","2025-02-16T14:44:51.936+01:00",12,"com.strava.stravaride","mzstorekit.itunes.apple.com","",2,1,"AppInitiated"
"93","2025-02-10T09:19:56.479+01:00","2025-02-16T15:45:40.940+01:00",70,"com.strava.stravaride","events.mapbox.com","",2,1,"AppInitiated"
"94","2025-02-10T12:56:59.683+01:00","2025-02-16T18:04:38.083+01:00",47,"com.strava.stravaride","d3o5xota0a1fcr.cloudfront.net","",2,1,"AppInitiated"
"95","2025-02-10T12:59:01.714+01:00","2025-02-16T17:53:16.710+01:00",12,"com.strava.stravaride","stream.mux.com","",2,1,"AppInitiated"
"96","2025-02-10T12:57:00.417+01:00","2025-02-16T18:04:57.293+01:00",41,"com.strava.stravaride","dgalywyr863hv.cloudfront.net","",2,1,"AppInitiated"
"97","2025-02-10T12:57:02.152+01:00","2025-02-16T16:56:23.731+01:00",22,"com.strava.stravaride","dgtzuqphqg23d.cloudfront.net","",2,1,"AppInitiated"
"98","2025-02-10T12:59:01.696+01:00","2025-02-16T15:16:32.531+01:00",4,"com.strava.stravaride","image.mux.com","",2,1,"AppInitiated"
"99","2025-02-10T12:59:02.505+01:00","2025-02-14T21:06:55.267+01:00",5,"com.strava.stravaride","chunk-gcp-us-east4-vop1.fastly.mux.com","",2,1,"AppInitiated"
"100","2025-02-10T12:58:03.802+01:00","2025-02-10T12:58:03.802+01:00",1,"com.strava.stravaride","3.165.190.84","",2,2,"AppInitiated"
"101","2025-02-10T12:58:51.701+01:00","2025-02-16T16:56:23.772+01:00",4,"com.strava.stravaride","lh3.googleusercontent.com","",2,1,"AppInitiated"
"102","2025-02-10T12:59:02.067+01:00","2025-02-14T20:58:20.167+01:00",4,"com.strava.stravaride","manifest-gcp-us-east4-vop1.fastly.mux.com","",2,1,"AppInitiated"
"103","2025-02-10T12:57:31.301+01:00","2025-02-16T15:50:05.396+01:00",12,"com.strava.stravaride","api.mapbox.com","",2,1,"AppInitiated"
"104","2025-02-10T18:05:48.270+01:00","2025-02-16T22:51:21.415+01:00",50,"com.strava.stravaride","phoots.strava.com","",2,1,"AppInitiated"
"105","2025-02-10T18:53:29.423+01:00","2025-02-16T15:46:03.769+01:00",12,"com.strava.stravaride","tiles.strava.com","",2,1,"AppInitiated"
"106","2025-02-12T22:47:13.189+01:00","2025-02-12T22:47:13.189+01:00",1,"com.strava.stravaride","firebaseinstallations.googleapis.com","",2,1,"AppInitiated"
