"","firstTimeStamp","timeStamp","hits","bundleID","domain","domainOwner","domainType","domainClassification","initiatedType"
"199","2025-04-15T22:53:59.462+02:00","2025-04-21T08:29:08.959+02:00",7,"ch.tutti.iphone","inappcheck.itunes.apple.com","",2,1,"AppInitiated"
"200","2025-04-15T22:54:16.107+02:00","2025-04-18T09:51:25.481+02:00",6,"ch.tutti.iphone","tracking.aatkit.com","AddApptr GmbH",1,1,"AppInitiated"
"201","2025-04-15T22:53:59.477+02:00","2025-04-21T11:52:49.056+02:00",27,"ch.tutti.iphone","api.tutti.ch","",2,1,"AppInitiated"
"202","2025-04-15T22:54:03.689+02:00","2025-04-21T11:52:50.419+02:00",21,"ch.tutti.iphone","ib.adnxs-simple.com","",2,1,"AppInitiated"
"203","2025-04-15T22:54:00.019+02:00","2025-04-21T11:52:49.690+02:00",12,"ch.tutti.iphone","mobile-data.onetrust.io","",2,1,"AppInitiated"
"204","2025-04-15T22:53:59.574+02:00","2025-04-21T11:52:50.412+02:00",12,"ch.tutti.iphone","acdn.adnxs.com","",2,1,"AppInitiated"
"205","2025-04-15T22:53:59.472+02:00","2025-04-21T11:52:48.827+02:00",12,"ch.tutti.iphone","in.appcenter.ms","Microsoft Corporation",1,1,"AppInitiated"
"206","2025-04-15T22:53:59.493+02:00","2025-04-21T11:52:49.769+02:00",13,"ch.tutti.iphone","g.doubleclick.net","Google LLC",1,1,"AppInitiated"
"207","2025-04-15T22:53:59.737+02:00","2025-04-21T08:29:10.969+02:00",7,"ch.tutti.iphone","firebaseremoteconfig.googleapis.com","Google LLC",1,1,"AppInitiated"
"208","2025-04-15T22:53:59.989+02:00","2025-04-15T22:53:59.989+02:00",1,"ch.tutti.iphone","cdn.tutti.ch","",2,1,"AppInitiated"
"209","2025-04-15T22:54:08.776+02:00","2025-04-19T09:29:57.891+02:00",8,"ch.tutti.iphone","region1.app-analytics-services.com","",2,1,"AppInitiated"
"210","2025-04-15T22:53:59.479+02:00","2025-04-21T08:29:09.171+02:00",6,"ch.tutti.iphone","www.googletagmanager.com","Google LLC",1,1,"AppInitiated"
"211","2025-04-15T22:53:59.471+02:00","2025-04-21T11:52:48.835+02:00",17,"ch.tutti.iphone","firebaseremoteconfigrealtime.googleapis.com","",2,1,"AppInitiated"
"212","2025-04-15T22:54:05.121+02:00","2025-04-15T22:54:05.121+02:00",1,"ch.tutti.iphone","privacyportal-ch.onetrust.com","",2,1,"AppInitiated"
"213","2025-04-15T22:54:01.737+02:00","2025-04-20T08:22:27.725+02:00",5,"ch.tutti.iphone","rules3.aatkit.com","AddApptr GmbH",1,1,"AppInitiated"
"214","2025-04-15T22:53:59.467+02:00","2025-04-21T11:52:48.833+02:00",13,"ch.tutti.iphone","api.marketing.swissmarketplace.group","",2,1,"AppInitiated"
"215","2025-04-15T22:54:11.714+02:00","2025-04-15T22:54:11.714+02:00",1,"ch.tutti.iphone","fcmtoken.googleapis.com","",2,1,"AppInitiated"
"216","2025-04-15T22:54:00.198+02:00","2025-04-18T09:50:32.210+02:00",5,"ch.tutti.iphone","c.tutti.ch","",2,1,"AppInitiated"
"217","2025-04-15T22:54:03.697+02:00","2025-04-18T09:50:35.596+02:00",9,"ch.tutti.iphone","node1-rtb.gravite.net","",2,1,"AppInitiated"
"218","2025-04-16T08:43:44.613+02:00","2025-04-18T09:50:35.242+02:00",5,"ch.tutti.iphone","pagead2.googlesyndication.com","Google LLC",1,1,"AppInitiated"
"219","2025-04-16T08:43:44.616+02:00","2025-04-18T09:50:35.255+02:00",3,"ch.tutti.iphone","www.googletagservices.com","",2,1,"AppInitiated"
"220","2025-04-16T08:43:45.651+02:00","2025-04-18T09:50:35.599+02:00",4,"ch.tutti.iphone","vt.spusu.at","",2,1,"AppInitiated"
