"","Var1","Var2","Freq"
"1","1","FALSE",169
"2","2","FALSE",4554
"3","Total","FALSE",4723
"4","1","TRUE",460
"5","2","TRUE",757
"6","Total","TRUE",1217
"7","1","Total",629
"8","2","Total",5311
"9","Total","Total",5940
