"","DomainOwnerName","total_accesses","notes"
"1","Google",62,""
"2","Other",28,""
"3","Apple",26,""
"4","Meta",22,""
"5","Microsoft",5,""
"6","AddApptr",3,""
"7","Digitec Galaxus AG",3,""
"8","Branch",2,""
"9","Braze Inc.",2,""
"10","DigiCert",2,""
"11","Kochava",2,""
"12","SMG AG",2,""
"13","Adobe",1,""
"14","Amplitude",1,""
"15","Functional Software",1,""
"16","Mapbox",1,""
"17","OneTrust",1,""
"18","RevenueCat",1,""
"19","Vungle Inc.",1,""
"20","Zendesk",1,""
"21","comScore Inc.",1,""
