"","Var1","Var2","Freq"
"1","1","FALSE",503
"2","2","FALSE",11598
"3","Total","FALSE",12101
"4","1","TRUE",1215
"5","2","TRUE",1777
"6","Total","TRUE",2992
"7","1","Total",1718
"8","2","Total",13375
"9","Total","Total",15093
