"","firstTimeStamp","timeStamp","hits","bundleID","domain","domainOwner","domainType","domainClassification","initiatedType"
"88","2025-01-30T11:05:56.635+01:00","2025-01-30T11:05:56.635+01:00",1,"swiss.ricardo.iphone","public-prod-dspcookiematching.dmxleo.com","",2,1,"AppInitiated"
"89","2025-01-30T11:05:44.110+01:00","2025-01-30T11:05:44.110+01:00",1,"swiss.ricardo.iphone","usersync-america.rtblab.net","",2,1,"AppInitiated"
"90","2025-01-30T11:05:31.158+01:00","2025-01-30T11:05:31.158+01:00",1,"swiss.ricardo.iphone","sentry.io","",2,1,"AppInitiated"
"91","2025-01-30T11:06:57.715+01:00","2025-01-30T11:06:57.715+01:00",1,"swiss.ricardo.iphone","bh.contextweb.com","Pulsepoint, Inc.",1,1,"AppInitiated"
"92","2025-01-30T11:07:46.517+01:00","2025-01-30T11:09:17.423+01:00",2,"swiss.ricardo.iphone","o170101.ingest.sentry.io","Functional Software, Inc.",1,1,"AppInitiated"
"93","2025-01-30T11:07:46.827+01:00","2025-01-30T11:07:46.827+01:00",1,"swiss.ricardo.iphone","inv-nets.admixer.net","",2,1,"AppInitiated"
"94","2025-01-30T11:09:31.844+01:00","2025-01-30T11:09:31.844+01:00",1,"swiss.ricardo.iphone","b.stripecdn.com","",2,1,"AppInitiated"
"95","2025-01-30T11:09:30.283+01:00","2025-01-30T11:09:30.283+01:00",1,"swiss.ricardo.iphone","js.stripe.com","",2,1,"AppInitiated"
"96","2025-01-30T11:09:32.992+01:00","2025-01-30T11:09:32.992+01:00",1,"swiss.ricardo.iphone","api.hcaptcha.com","",2,1,"AppInitiated"
"97","2025-01-30T11:09:31.867+01:00","2025-01-30T11:09:31.867+01:00",1,"swiss.ricardo.iphone","newassets.hcaptcha.com","",2,1,"AppInitiated"
"98","2025-01-30T11:09:31.876+01:00","2025-01-30T11:09:31.876+01:00",1,"swiss.ricardo.iphone","api2.hcaptcha.com","",2,1,"AppInitiated"
"99","2025-01-30T11:09:31.859+01:00","2025-01-30T11:09:31.859+01:00",1,"swiss.ricardo.iphone","hcaptcha.com","",2,1,"AppInitiated"
"100","2025-01-30T11:09:17.863+01:00","2025-01-30T11:09:17.863+01:00",1,"swiss.ricardo.iphone","match.sharethrough.com","",2,1,"AppInitiated"
"101","2025-01-30T11:09:30.609+01:00","2025-01-30T11:09:30.609+01:00",1,"swiss.ricardo.iphone","api.stripe.com","",2,1,"AppInitiated"
