"","Var1","Var2","Freq"
"1","1","FALSE",325
"2","2","FALSE",10828
"3","Total","FALSE",11153
"4","1","TRUE",1393
"5","2","TRUE",2547
"6","Total","TRUE",3940
"7","1","Total",1718
"8","2","Total",13375
"9","Total","Total",15093
