"","domain","total_accesses","domainOwner","DomainOwnerName","domainType","domainClassification","initiatedType","notes"
"150","gspe21-ssl.ls.apple.com",5,"","Apple",2,1,"AppInitiated",""
"151","init-p01md.apple.com",5,"","Apple",2,1,"AppInitiated",""
"152","init.ess.apple.com",5,"","Apple",2,1,"AppInitiated",""
"153","init.itunes.apple.com",5,"","Apple",2,1,"AppInitiated",""
"154","is4-ssl.mzstatic.com",5,"","Apple",2,1,"AppInitiated",""
"155","peoplestack-pa.googleapis.com",5,"","Google",2,1,"AppInitiated",""
"156","proxy.safebrowsing.apple",5,"","Apple",2,1,"NonAppInitiated",""
"157","sc.omtrdc.net",5,"Adobe Inc.","Adobe",1,1,"AppInitiated",""
"158","scontent-zrh1-1.cdninstagram.com",5,"","Meta",2,1,"AppInitiated",""
"159","sts.applovin.com",5,"","Other",2,1,"AppInitiated",""
"160","weatherkit.apple.com",5,"","Apple",2,1,"AppInitiated",""
"161","www.google.ch",5,"","Google",2,1,"AppInitiated",""
"162","www.linkedin.com",5,"","Microsoft",2,1,"AppInitiated",""
"163","www.linkedin.com",5,"","Microsoft",2,1,"NonAppInitiated",""
"164","www.linkedin.com",5,"","Microsoft",1,1,"NonAppInitiated",""
