"","domain","total_accesses","DomainOwnerName","domainType","domainClassification","notes"
"113","api2.amplitude.com",14,"Amplitude",1,1,""
"114","fra-01.braze.eu",14,"Braze Inc.",1,1,""
"115","geller-pa.googleapis.com",14,"Google",2,1,""
"116","google.ch",14,"Google",2,1,""
"117","init.itunes.apple.com",14,"Apple",2,1,""
"118","odc.officeapps.live.com",14,"Other",2,1,""
"119","self.events.data.microsoft.com",14,"Microsoft",2,1,""
"120","end.mpod.ch",13,"Other",2,1,""
"121","friend.gc.apple.com",13,"Apple",2,1,""
"122","google-analytics.com",13,"Google",1,1,""
"123","ib.adnxs.com",13,"Microsoft",1,1,""
"124","init.ess.apple.com",13,"Apple",2,1,""
"125","play.itunes.apple.com",13,"Apple",2,1,""
"126","ssl.gstatic.com",13,"Google",2,1,""
"127","unityads.unity3d.com",13,"Unity Software Inc.",1,1,""
"128","157.240.17.3",12,"Other",2,2,""
"129","239.255.255.250",12,"Other",2,2,""
"130","ae.iads.unity3d.com",12,"Unity Software Inc.",2,1,""
"131","api.bidmachine.io",12,"Other",2,1,""
"132","cdn.iads.unity3d.com",12,"Unity Software Inc.",2,1,""
"133","cdn2.inner-active.mobi",12,"Other",2,1,""
"134","d.applovin.com",12,"Other",2,1,""
"135","ep7.facebook.com",12,"Meta",2,1,""
"136","feedback-pa.googleapis.com",12,"Google",2,1,""
"137","gspe21-ssl.ls.apple.com",12,"Apple",2,1,""
"138","i-sdk.mediation.unity3d.com",12,"Unity Software Inc.",2,1,""
"139","instagram.com",12,"Meta",2,1,""
"140","m.media-amazon.com",12,"Amazon",2,1,""
"141","ms.applovin.com",12,"Other",2,1,""
"142","o-sdk.mediation.unity3d.com",12,"Unity Software Inc.",2,1,""
"143","ocsp.godaddy.com",12,"Other",2,1,""
"144","ocsp.swisssign.ch",12,"Other",2,1,""
"145","rt.applovin.com",12,"Other",2,1,""
"146","rules.aatkit.com",12,"AddApptr",1,1,""
"147","rules2.aatkit.com",12,"Other",2,1,""
"148","rules3.aatkit.com",12,"AddApptr",1,1,""
"149","scone-pa.googleapis.com",12,"Google",2,1,""
"150","sdk-events.inner-active.mobi",12,"Digital Turbine",1,1,""
"151","stats.gc.apple.com",12,"Apple",2,1,""
"152","tracking.aatkit.com",12,"AddApptr",1,1,""
"153","weatherkit.apple.com",12,"Apple",2,1,""
"154","157.240.17.62",11,"Other",2,2,""
"155","157.240.203.62",11,"Other",2,2,""
"156","8.8.8.8",11,"Other",2,2,""
"157","amd-infra.itunes.apple.com",11,"Apple",2,1,""
"158","amp-api.media.apple.com",11,"Apple",2,1,""
"159","amp-api.music.apple.com",11,"Apple",2,1,""
"160","api.bitwarden.com",11,"Other",2,1,""
"161","api.finsign.ch",11,"Other",2,1,""
"162","api.kochava.com",11,"Kochava",1,1,""
"163","app-prod-ws.meteoswiss-app.ch",11,"Other",2,1,""
"164","apresolve.spotify.com",11,"Spotify",2,1,""
"165","attester.gateway.icloud.com",11,"Apple",2,1,""
"166","audio-ak.spotifycdn.com",11,"Spotify",2,1,""
"167","audio-fa-del-574.spotifycdn.com",11,"Spotify",2,1,""
"168","audio-fa.scdn.co",11,"Other",2,1,""
"169","c.strava.com",11,"Strava Inc.",2,1,""
"170","calendars.icloud.com",11,"Apple",2,1,""
"171","canvaz.scdn.co",11,"Other",2,1,""
"172","cdn-1.strava.com",11,"Strava Inc.",2,1,""
"173","cdn.ampproject.org",11,"Other",2,1,""
"174","cdsi.signal.org",11,"Signal Technology Foundation",2,1,""
"175","chat.signal.org",11,"Signal Technology Foundation",2,1,""
"176","chat.stream-io-api.com",11,"Other",2,1,""
